,MATCHUP,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,TOV,PF
981,DEN vs. BKN,-23.0,-10.600000000000001,-4.9999999999999964,-13.099999999999994,7.0,-4.0,-7.0,-6.0,1.0,9.0,-3.0
982,BKN @ POR,-44.0,-14.0,-23.7,-19.900000000000006,-6.0,-18.0,-11.0,2.0,-5.0,1.0,3.0
983,POR vs. BKN,44.0,14.0,23.7,19.900000000000006,6.0,18.0,11.0,-2.0,5.0,-1.0,-3.0
984,ATL @ BOS,-11.0,2.200000000000003,11.0,-12.099999999999994,-8.0,-9.0,-1.0,-4.0,5.0,4.0,1.0
985,BOS vs. ATL,11.0,-2.200000000000003,-11.0,12.099999999999994,8.0,9.0,1.0,4.0,-5.0,-4.0,-1.0
986,NOP @ DAL,-19.0,-1.1999999999999957,-0.5,-51.99999999999999,6.0,0.0,-6.0,-11.0,-1.0,10.0,0.0
987,DAL vs. NOP,19.0,1.1999999999999957,0.5,51.99999999999999,-6.0,0.0,6.0,11.0,1.0,-10.0,0.0
988,PHX @ UTA,-23.0,-18.0,-18.4,-4.600000000000001,6.0,-10.0,-8.0,2.0,1.0,-1.0,-3.0
989,UTA vs. PHX,23.0,18.0,18.4,4.600000000000001,-6.0,10.0,8.0,-2.0,-1.0,1.0,3.0
990,GSW @ CHI,-20.0,-8.899999999999999,-11.900000000000002,1.7999999999999972,-7.0,-8.0,-7.0,-2.0,-2.0,0.0,3.0
991,CHI vs. GSW,20.0,8.899999999999999,11.900000000000002,-1.7999999999999972,7.0,8.0,7.0,2.0,2.0,0.0,-3.0
992,CLE @ OKC,10.0,-2.299999999999997,0.3999999999999986,19.299999999999997,2.0,-1.0,-2.0,4.0,-5.0,-3.0,-3.0
993,OKC vs. CLE,-10.0,2.299999999999997,-0.3999999999999986,-19.299999999999997,-2.0,1.0,2.0,-4.0,5.0,3.0,3.0
994,HOU @ LAC,-8.0,0.10000000000000142,-1.2999999999999972,-13.799999999999997,-2.0,6.0,-6.0,-6.0,-4.0,9.0,-3.0
995,LAC vs. HOU,8.0,-0.10000000000000142,1.2999999999999972,13.799999999999997,2.0,-6.0,6.0,6.0,4.0,-9.0,3.0
996,ORL @ PHI,11.0,4.700000000000003,27.3,12.5,1.0,12.0,7.0,0.0,4.0,2.0,3.0
997,PHI vs. ORL,-11.0,-4.700000000000003,-27.3,-12.5,-1.0,-12.0,-7.0,0.0,-4.0,-2.0,-3.0
998,ORL @ PHI,15.0,2.700000000000003,18.4,25.4,-4.0,19.0,9.0,-1.0,5.0,-3.0,0.0
999,PHX @ UTA,-15.0,-2.700000000000003,-18.4,-25.4,4.0,-19.0,-9.0,1.0,-5.0,3.0,0.0
1000,DET @ SAS,-10.0,-3.700000000000003,2.6000000000000014,-3.799999999999997,0.0,0.0,-10.0,0.0,-3.0,-5.0,3.0
1001,SAS vs. DET,10.0,3.700000000000003,-2.6000000000000014,3.799999999999997,0.0,0.0,10.0,0.0,3.0,5.0,-3.0
1002,LAL @ MEM,-5.0,0.5,22.8,0.0,-8.0,-3.0,-4.0,-3.0,5.0,3.0,-3.0
1003,MEM vs. LAL,5.0,-0.5,-22.8,0.0,8.0,3.0,4.0,3.0,-5.0,-3.0,3.0
1004,HOU @ LAC,-10.0,-5.199999999999996,-21.6,4.099999999999994,7.0,5.0,-5.0,1.0,-6.0,5.0,5.0
1005,LAL @ MEM,10.0,5.199999999999996,21.6,-4.099999999999994,-7.0,-5.0,5.0,-1.0,6.0,-5.0,-5.0
1006,POR @ DEN,5.0,0.8999999999999986,18.700000000000003,18.799999999999997,-20.0,-3.0,-2.0,1.0,7.0,-2.0,-4.0
1007,DEN vs. POR,-5.0,-0.8999999999999986,-18.700000000000003,-18.799999999999997,20.0,3.0,2.0,-1.0,-7.0,2.0,4.0
1008,MIN @ PHX,9.0,4.099999999999994,7.800000000000001,-12.200000000000003,-8.0,-4.0,5.0,1.0,-4.0,-4.0,-9.0
1009,PHX vs. MIN,-9.0,-4.099999999999994,-7.800000000000001,12.200000000000003,8.0,4.0,-5.0,-1.0,4.0,4.0,9.0
1010,ORL @ WAS,-9.0,-2.5,-30.5,10.700000000000003,6.0,3.0,0.0,-3.0,1.0,5.0,11.0
1011,WAS vs. ORL,9.0,2.5,30.5,-10.700000000000003,-6.0,-3.0,0.0,3.0,-1.0,-5.0,-11.0
1012,TOR @ CLE,6.0,3.799999999999997,1.9000000000000021,-4.099999999999994,-4.0,0.0,3.0,-1.0,5.0,2.0,0.0
1013,CLE vs. TOR,-6.0,-3.799999999999997,-1.9000000000000021,4.099999999999994,4.0,0.0,-3.0,1.0,-5.0,-2.0,0.0
1014,HOU @ SAC,26.0,16.9,22.2,1.7999999999999972,-5.0,13.0,8.0,-8.0,5.0,7.0,-1.0
1015,SAC vs. HOU,-26.0,-16.9,-22.2,-1.7999999999999972,5.0,-13.0,-8.0,8.0,-5.0,-7.0,1.0
1016,CHI @ ATL,4.0,-3.200000000000003,-9.100000000000001,4.900000000000006,4.0,2.0,3.0,4.0,0.0,-4.0,-7.0
1017,ATL vs. CHI,-4.0,3.200000000000003,9.100000000000001,-4.900000000000006,-4.0,-2.0,-3.0,-4.0,0.0,4.0,7.0
1018,LAL @ IND,-20.0,-3.200000000000003,3.4999999999999964,-16.0,-11.0,-9.0,-3.0,0.0,2.0,-1.0,2.0
1019,IND vs. LAL,20.0,3.200000000000003,-3.4999999999999964,16.0,11.0,9.0,3.0,0.0,-2.0,1.0,-2.0
