,MATCHUP,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,TOV,PF
0,DAL @ MEM,-1.0,-1.1000000000000014,1.6999999999999993,21.799999999999997,-5.0,-4.0,-3.0,4.0,3.0,-4.0,7.0
1,MEM vs. DAL,1.0,1.1000000000000014,-1.6999999999999993,-21.799999999999997,5.0,4.0,3.0,-4.0,-3.0,4.0,-7.0
2,LAL @ SAS,14.0,6.5,19.6,0.5999999999999943,-7.0,3.0,10.0,-4.0,-1.0,-8.0,-3.0
3,SAC vs. PHX,-14.0,-6.5,-19.6,-0.5999999999999943,7.0,-3.0,-10.0,4.0,1.0,8.0,3.0
4,PHX @ SAC,5.0,3.5,18.9,2.700000000000003,-6.0,-8.0,-3.0,1.0,2.0,-6.0,1.0
5,SAC vs. PHX,-5.0,-3.5,-18.9,-2.700000000000003,6.0,8.0,3.0,-1.0,-2.0,6.0,-1.0
6,HOU @ NOP,-5.0,-9.199999999999996,-3.299999999999997,1.7000000000000028,2.0,-3.0,-1.0,-7.0,-6.0,6.0,-2.0
7,NOP vs. HOU,5.0,9.199999999999996,3.299999999999997,-1.7000000000000028,-2.0,3.0,1.0,7.0,6.0,-6.0,2.0
8,DET @ OKC,-1.0,6.399999999999999,20.400000000000002,-14.299999999999997,-9.0,1.0,-3.0,-4.0,-4.0,2.0,6.0
9,OKC vs. DET,1.0,-6.399999999999999,-20.400000000000002,14.299999999999997,9.0,-1.0,3.0,4.0,4.0,-2.0,-6.0
10,IND @ ORL,15.0,6.100000000000001,14.5,1.9000000000000057,6.0,6.0,12.0,-4.0,-3.0,2.0,1.0
11,ORL vs. IND,-15.0,-6.100000000000001,-14.5,-1.9000000000000057,-6.0,-6.0,-12.0,4.0,3.0,-2.0,-1.0
12,ATL @ MIL,-19.0,12.699999999999996,1.2999999999999972,3.0,-9.0,-6.0,5.0,1.0,-3.0,-3.0,-6.0
13,MIN vs. UTA,19.0,-12.699999999999996,-1.2999999999999972,-3.0,9.0,6.0,-5.0,-1.0,3.0,3.0,6.0
14,PHI @ MIA,-30.0,10.199999999999996,11.5,9.700000000000003,-8.0,-2.0,0.0,3.0,0.0,3.0,-2.0
15,MIN vs. UTA,30.0,-10.199999999999996,-11.5,-9.700000000000003,8.0,2.0,0.0,-3.0,0.0,-3.0,2.0
16,UTA @ MIN,6.0,7.899999999999999,-7.0,5.0,9.0,6.0,6.0,-2.0,4.0,3.0,10.0
17,MIN vs. UTA,-6.0,-7.899999999999999,7.0,-5.0,-9.0,-6.0,-6.0,2.0,-4.0,-3.0,-10.0
18,BKN @ CLE,-29.0,-14.899999999999999,-8.0,-8.5,-7.0,-8.0,-11.0,-1.0,-6.0,3.0,-2.0
19,CLE vs. BKN,29.0,14.899999999999999,8.0,8.5,7.0,8.0,11.0,1.0,6.0,-3.0,2.0
20,ATL @ MIL,8.0,2.0,-5.600000000000001,4.599999999999994,-7.0,-6.0,4.0,8.0,-3.0,-8.0,-3.0
21,MIL vs. ATL,-8.0,-2.0,5.600000000000001,-4.599999999999994,7.0,6.0,-4.0,-8.0,3.0,8.0,3.0
22,PHI @ MIA,-3.0,-0.5,4.600000000000001,11.299999999999997,-6.0,-2.0,-1.0,10.0,0.0,-2.0,1.0
23,MIL vs. ATL,3.0,0.5,-4.600000000000001,-11.299999999999997,6.0,2.0,1.0,-10.0,0.0,2.0,-1.0
24,UTA @ MIN,33.0,-2.799999999999997,-13.899999999999999,6.599999999999994,11.0,6.0,5.0,5.0,4.0,-2.0,13.0
25,MIL vs. ATL,-33.0,2.799999999999997,13.899999999999999,-6.599999999999994,-11.0,-6.0,-5.0,-5.0,-4.0,2.0,-13.0
26,CHI @ CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,CHI @ CHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,TOR @ NYK,-3.0,-0.7000000000000028,-16.1,-7.300000000000004,1.0,11.0,7.0,-3.0,-4.0,8.0,-3.0
29,NYK vs. TOR,3.0,0.7000000000000028,16.1,7.300000000000004,-1.0,-11.0,-7.0,3.0,4.0,-8.0,3.0
30,ATL @ MIL,24.0,12.799999999999997,0.0,3.5,-5.0,1.0,13.0,5.0,0.0,-7.0,2.0
31,MIA vs. PHI,-24.0,-12.799999999999997,0.0,-3.5,5.0,-1.0,-13.0,-5.0,0.0,7.0,-2.0
32,PHI @ MIA,13.0,10.299999999999997,10.200000000000003,10.200000000000003,-4.0,5.0,8.0,7.0,3.0,-1.0,6.0
33,MIA vs. PHI,-13.0,-10.299999999999997,-10.200000000000003,-10.200000000000003,4.0,-5.0,-8.0,-7.0,-3.0,1.0,-6.0
34,UTA @ MIN,49.0,8.0,-8.299999999999997,5.5,13.0,13.0,14.0,2.0,7.0,-1.0,18.0
35,MIA vs. PHI,-49.0,-8.0,8.299999999999997,-5.5,-13.0,-13.0,-14.0,-2.0,-7.0,1.0,-18.0
36,CHI @ CHA,-5.0,-0.5,12.599999999999998,-2.5,-6.0,-3.0,-2.0,-1.0,-3.0,2.0,8.0
37,CHA vs. CHI,5.0,0.5,-12.599999999999998,2.5,6.0,3.0,2.0,1.0,3.0,-2.0,-8.0
38,GSW @ DEN,5.0,-1.7000000000000028,-7.300000000000004,-4.199999999999996,-4.0,8.0,7.0,6.0,1.0,-3.0,-5.0
39,DET @ OKC,-5.0,1.7000000000000028,7.300000000000004,4.199999999999996,4.0,-8.0,-7.0,-6.0,-1.0,3.0,5.0
40,LAL @ SAS,13.0,8.100000000000001,7.400000000000006,-9.400000000000006,-4.0,5.0,4.0,1.0,-4.0,0.0,-2.0
41,SAS vs. LAL,-13.0,-8.100000000000001,-7.400000000000006,9.400000000000006,4.0,-5.0,-4.0,-1.0,4.0,0.0,2.0
42,PHX @ SAC,4.0,5.100000000000001,6.700000000000003,-7.299999999999997,-3.0,-6.0,-9.0,6.0,-1.0,2.0,2.0
43,SAS vs. LAL,-4.0,-5.100000000000001,-6.700000000000003,7.299999999999997,3.0,6.0,9.0,-6.0,1.0,-2.0,-2.0
44,WAS @ BOS,16.0,10.399999999999999,9.999999999999996,-3.3000000000000114,-5.0,4.0,2.0,-2.0,1.0,-1.0,4.0
45,BOS vs. WAS,-16.0,-10.399999999999999,-9.999999999999996,3.3000000000000114,5.0,-4.0,-2.0,2.0,-1.0,1.0,-4.0
46,LAC @ POR,-6.0,-1.1000000000000014,-15.0,12.099999999999994,-16.0,-7.0,-9.0,-1.0,2.0,-2.0,-3.0
47,POR vs. LAC,6.0,1.1000000000000014,15.0,-12.099999999999994,16.0,7.0,9.0,1.0,-2.0,2.0,3.0
48,GSW @ DEN,4.0,4.899999999999999,8.299999999999997,-25.800000000000004,2.0,1.0,4.0,8.0,0.0,-5.0,-5.0
49,DEN vs. GSW,-4.0,-4.899999999999999,-8.299999999999997,25.800000000000004,-2.0,-1.0,-4.0,-8.0,0.0,5.0,5.0
50,NYK @ BKN,11.0,3.799999999999997,12.399999999999999,14.0,-4.0,2.0,-10.0,1.0,4.0,-3.0,2.0
51,BKN vs. NYK,-11.0,-3.799999999999997,-12.399999999999999,-14.0,4.0,-2.0,10.0,-1.0,-4.0,3.0,-2.0
52,DEN @ LAC,-12.0,-10.299999999999997,-9.899999999999999,23.299999999999997,6.0,-4.0,-9.0,-1.0,0.0,4.0,5.0
53,LAC vs. DEN,12.0,10.299999999999997,9.899999999999999,-23.299999999999997,-6.0,4.0,9.0,1.0,0.0,-4.0,-5.0
54,OKC @ NOP,-12.0,-4.0,-2.8999999999999986,8.5,1.0,3.0,2.0,-2.0,-1.0,6.0,4.0
55,NOP vs. OKC,12.0,4.0,2.8999999999999986,-8.5,-1.0,-3.0,-2.0,2.0,1.0,-6.0,-4.0
56,MIN @ GSW,-10.0,4.600000000000001,12.799999999999997,-10.700000000000003,-9.0,1.0,6.0,-6.0,-1.0,6.0,-11.0
57,GSW vs. MIN,10.0,-4.600000000000001,-12.799999999999997,10.700000000000003,9.0,-1.0,-6.0,6.0,1.0,-6.0,11.0
58,CHA @ ATL,2.0,0.7999999999999972,-2.6999999999999993,-12.600000000000009,7.0,2.0,0.0,-3.0,-1.0,3.0,-1.0
59,ATL vs. CHA,-2.0,-0.7999999999999972,2.6999999999999993,12.600000000000009,-7.0,-2.0,0.0,3.0,1.0,-3.0,1.0
60,SAS @ HOU,-6.0,-0.9000000000000057,5.300000000000001,6.1000000000000085,-3.0,-4.0,6.0,-1.0,0.0,0.0,7.0
61,HOU vs. SAS,6.0,0.9000000000000057,-5.300000000000001,-6.1000000000000085,3.0,4.0,-6.0,1.0,0.0,0.0,-7.0
62,MEM @ PHX,6.0,4.399999999999999,20.8,1.8999999999999915,2.0,10.0,5.0,-7.0,-5.0,5.0,-2.0
63,PHX vs. MEM,-6.0,-4.399999999999999,-20.8,-1.8999999999999915,-2.0,-10.0,-5.0,7.0,5.0,-5.0,2.0
64,BOS @ PHI,17.0,-1.0,18.3,1.6999999999999886,4.0,6.0,11.0,-4.0,-2.0,5.0,3.0
65,PHX vs. MEM,-17.0,1.0,-18.3,-1.6999999999999886,-4.0,-6.0,-11.0,4.0,2.0,-5.0,-3.0
66,MIA @ WAS,-21.0,-14.0,-22.4,34.2,-3.0,-8.0,-13.0,2.0,0.0,-5.0,-4.0
67,WAS vs. MIA,21.0,14.0,22.4,-34.2,3.0,8.0,13.0,-2.0,0.0,5.0,4.0
68,ORL @ CHI,-13.0,-0.6000000000000014,8.200000000000003,6.1000000000000085,-4.0,0.0,-1.0,-4.0,3.0,8.0,8.0
69,CHI vs. ORL,13.0,0.6000000000000014,-8.200000000000003,-6.1000000000000085,4.0,0.0,1.0,4.0,-3.0,-8.0,-8.0
70,MIL @ TOR,-10.0,5.200000000000003,16.200000000000003,-7.700000000000003,-9.0,-5.0,-4.0,-4.0,3.0,3.0,-1.0
71,TOR vs. MIL,10.0,-5.200000000000003,-16.200000000000003,7.700000000000003,9.0,5.0,4.0,4.0,-3.0,-3.0,1.0
72,ORL @ CHI,0.0,6.200000000000003,22.700000000000003,22.900000000000006,-8.0,-8.0,-1.0,1.0,4.0,7.0,7.0
73,CHA @ ATL,0.0,-6.200000000000003,-22.700000000000003,-22.900000000000006,8.0,8.0,1.0,-1.0,-4.0,-7.0,-7.0
74,MEM @ PHX,-16.0,-2.5,15.0,10.099999999999994,1.0,-1.0,-5.0,-5.0,-7.0,3.0,-3.0
75,PHI vs. BOS,16.0,2.5,-15.0,-10.099999999999994,-1.0,1.0,5.0,5.0,7.0,-3.0,3.0
76,BOS @ PHI,-5.0,-7.899999999999999,12.5,9.899999999999991,3.0,-5.0,1.0,-2.0,-4.0,3.0,2.0
77,PHI vs. BOS,5.0,7.899999999999999,-12.5,-9.899999999999991,-3.0,5.0,-1.0,2.0,4.0,-3.0,-2.0
78,LAL @ UTA,15.0,3.0,10.100000000000001,16.400000000000006,0.0,-1.0,6.0,6.0,2.0,-5.0,0.0
79,UTA vs. LAL,-15.0,-3.0,-10.100000000000001,-16.400000000000006,0.0,1.0,-6.0,-6.0,-2.0,5.0,0.0
80,TOR @ DET,9.0,6.399999999999999,14.100000000000001,16.200000000000003,-13.0,-2.0,-3.0,2.0,2.0,-5.0,6.0
81,DET vs. TOR,-9.0,-6.399999999999999,-14.100000000000001,-16.200000000000003,13.0,2.0,3.0,-2.0,-2.0,5.0,-6.0
82,CHI @ NYK,-11.0,-6.5,-8.7,-2.9000000000000057,5.0,4.0,7.0,-5.0,-4.0,7.0,-6.0
83,NYK vs. CHI,11.0,6.5,8.7,2.9000000000000057,-5.0,-4.0,-7.0,5.0,4.0,-7.0,6.0
84,MEM @ LAL,12.0,3.9000000000000057,12.599999999999994,-4.8999999999999915,11.0,9.0,0.0,1.0,2.0,2.0,-3.0
85,LAL vs. MEM,-12.0,-3.9000000000000057,-12.599999999999994,4.8999999999999915,-11.0,-9.0,0.0,-1.0,-2.0,-2.0,3.0
86,OKC @ IND,-5.0,-9.899999999999999,-20.0,20.799999999999997,-2.0,-12.0,-2.0,9.0,0.0,-12.0,3.0
87,IND vs. OKC,5.0,9.899999999999999,20.0,-20.799999999999997,2.0,12.0,2.0,-9.0,0.0,12.0,-3.0
88,GSW @ POR,-2.0,-1.6000000000000014,4.199999999999996,3.0999999999999943,-1.0,-7.0,-4.0,3.0,-3.0,0.0,15.0
89,POR vs. GSW,2.0,1.6000000000000014,-4.199999999999996,-3.0999999999999943,1.0,7.0,4.0,-3.0,3.0,0.0,-15.0
90,ORL @ BKN,-9.0,0.6999999999999957,-1.3999999999999986,-2.5,-6.0,-6.0,-1.0,2.0,-3.0,-4.0,7.0
91,BKN vs. ORL,9.0,-0.6999999999999957,1.3999999999999986,2.5,6.0,6.0,1.0,-2.0,3.0,4.0,-7.0
92,MIN @ SAC,-3.0,-10.200000000000003,-3.4999999999999964,20.0,2.0,-8.0,1.0,0.0,-1.0,-5.0,-3.0
93,SAC vs. MIN,3.0,10.200000000000003,3.4999999999999964,-20.0,-2.0,8.0,-1.0,0.0,1.0,5.0,3.0
94,PHX @ DAL,-3.0,-3.1999999999999957,1.3000000000000043,-1.7000000000000028,3.0,-4.0,-7.0,5.0,-1.0,-1.0,0.0
95,DAL vs. PHX,3.0,3.1999999999999957,-1.3000000000000043,1.7000000000000028,-3.0,4.0,7.0,-5.0,1.0,1.0,0.0
96,NOP @ HOU,-7.0,-3.0,3.8999999999999986,1.5,2.0,1.0,-3.0,-3.0,0.0,-3.0,7.0
97,HOU vs. NOP,7.0,3.0,-3.8999999999999986,-1.5,-2.0,-1.0,3.0,3.0,0.0,3.0,-7.0
98,SAC @ LAC,-16.0,-7.899999999999999,-3.0,9.599999999999994,2.0,-7.0,-10.0,-1.0,-4.0,-1.0,0.0
99,LAC vs. SAC,16.0,7.899999999999999,3.0,-9.599999999999994,-2.0,7.0,10.0,1.0,4.0,1.0,0.0
100,BOS @ CLE,12.0,5.600000000000001,12.2,16.599999999999994,-8.0,6.0,5.0,3.0,3.0,-2.0,4.0
101,CLE vs. BOS,-12.0,-5.600000000000001,-12.2,-16.599999999999994,8.0,-6.0,-5.0,-3.0,-3.0,2.0,-4.0
102,MIL @ WAS,-13.0,-0.5,26.1,-19.5,5.0,1.0,-5.0,-2.0,-2.0,11.0,-7.0
103,WAS vs. MIL,13.0,0.5,-26.1,19.5,-5.0,-1.0,5.0,2.0,2.0,-11.0,7.0
104,UTA @ DEN,-7.0,1.2999999999999972,-16.4,-7.799999999999997,-6.0,-7.0,-3.0,8.0,1.0,-4.0,-3.0
105,DEN vs. UTA,7.0,-1.2999999999999972,16.4,7.799999999999997,6.0,7.0,3.0,-8.0,-1.0,4.0,3.0
106,PHI @ CHA,-6.0,-10.100000000000001,-16.799999999999997,5.800000000000004,2.0,-3.0,-5.0,5.0,-8.0,-5.0,8.0
107,CHA vs. PHI,6.0,10.100000000000001,16.799999999999997,-5.800000000000004,-2.0,3.0,5.0,-5.0,8.0,5.0,-8.0
108,MIA @ ATL,-13.0,1.6999999999999957,-21.5,-36.800000000000004,1.0,5.0,-6.0,-8.0,3.0,8.0,-2.0
109,ATL vs. MIA,13.0,-1.6999999999999957,21.5,36.800000000000004,-1.0,-5.0,6.0,8.0,-3.0,-8.0,2.0
110,HOU @ MIN,-9.0,-9.0,6.5,9.200000000000003,1.0,10.0,2.0,7.0,0.0,9.0,10.0
111,MIL vs. CLE,9.0,9.0,-6.5,-9.200000000000003,-1.0,-10.0,-2.0,-7.0,0.0,-9.0,-10.0
112,IND @ MIA,-33.0,-4.699999999999996,19.6,18.400000000000006,-9.0,-1.0,0.0,0.0,-1.0,5.0,1.0
113,MIL vs. CLE,33.0,4.699999999999996,-19.6,-18.400000000000006,9.0,1.0,0.0,0.0,1.0,-5.0,-1.0
114,CLE @ MIL,-3.0,-3.0,-17.5,14.200000000000003,-3.0,2.0,-2.0,6.0,0.0,-1.0,5.0
115,MIL vs. CLE,3.0,3.0,17.5,-14.200000000000003,3.0,-2.0,2.0,-6.0,0.0,1.0,-5.0
116,WAS @ ORL,10.0,1.1000000000000014,-10.600000000000001,-2.299999999999997,3.0,-1.0,3.0,-2.0,-1.0,-4.0,-12.0
117,ORL vs. WAS,-10.0,-1.1000000000000014,10.600000000000001,2.299999999999997,-3.0,1.0,-3.0,2.0,1.0,4.0,12.0
118,NYK @ TOR,8.0,8.399999999999999,-20.5,8.300000000000011,-7.0,4.0,0.0,4.0,-1.0,-6.0,0.0
119,TOR vs. NYK,-8.0,-8.399999999999999,20.5,-8.300000000000011,7.0,-4.0,0.0,-4.0,1.0,6.0,0.0
120,PHX @ SAS,-8.0,2.8000000000000043,-8.699999999999996,8.200000000000003,-1.0,7.0,-6.0,-3.0,-4.0,11.0,2.0
121,SAS vs. PHX,8.0,-2.8000000000000043,8.699999999999996,-8.200000000000003,1.0,-7.0,6.0,3.0,4.0,-11.0,-2.0
122,POR @ UTA,12.0,-0.5,3.799999999999997,2.0,-4.0,-2.0,-3.0,4.0,-1.0,-5.0,-7.0
123,UTA vs. POR,-12.0,0.5,-3.799999999999997,-2.0,4.0,2.0,3.0,-4.0,1.0,5.0,7.0
124,ATL @ BKN,5.0,3.1000000000000014,-22.0,39.2,0.0,6.0,-5.0,-4.0,6.0,-2.0,-1.0
125,BKN vs. ATL,-5.0,-3.1000000000000014,22.0,-39.2,0.0,-6.0,5.0,4.0,-6.0,2.0,1.0
126,GSW @ LAL,17.0,9.600000000000001,19.9,-10.799999999999997,4.0,11.0,4.0,2.0,3.0,2.0,5.0
127,LAL vs. GSW,-17.0,-9.600000000000001,-19.9,10.799999999999997,-4.0,-11.0,-4.0,-2.0,-3.0,-2.0,-5.0
128,HOU @ MIN,12.0,-3.3000000000000043,6.5,-3.5999999999999943,4.0,8.0,8.0,2.0,0.0,11.0,10.0
129,MIA vs. IND,-12.0,3.3000000000000043,-6.5,3.5999999999999943,-4.0,-8.0,-8.0,-2.0,0.0,-11.0,-10.0
130,IND @ MIA,-12.0,1.0,19.6,5.6000000000000085,-6.0,-3.0,6.0,-5.0,-1.0,7.0,1.0
131,MIA vs. IND,12.0,-1.0,-19.6,-5.6000000000000085,6.0,3.0,-6.0,5.0,1.0,-7.0,-1.0
132,CLE @ MIL,18.0,2.6999999999999957,-17.5,1.4000000000000057,0.0,0.0,4.0,1.0,0.0,1.0,5.0
133,MIA vs. IND,-18.0,-2.6999999999999957,17.5,-1.4000000000000057,0.0,0.0,-4.0,-1.0,0.0,-1.0,-5.0
134,HOU @ MIN,-2.0,-0.20000000000000284,19.0,7.5,-3.0,5.0,0.0,-1.0,-4.0,5.0,7.0
135,MIN vs. HOU,2.0,0.20000000000000284,-19.0,-7.5,3.0,-5.0,0.0,1.0,4.0,-5.0,-7.0
136,IND @ MIA,-26.0,4.100000000000001,32.1,16.700000000000003,-13.0,-6.0,-2.0,-8.0,-5.0,1.0,-2.0
137,MIN vs. HOU,26.0,-4.100000000000001,-32.1,-16.700000000000003,13.0,6.0,2.0,8.0,5.0,-1.0,2.0
138,CLE @ MIL,4.0,5.799999999999997,-5.0,12.5,-7.0,-3.0,-4.0,-2.0,-4.0,-5.0,2.0
139,MIN vs. HOU,-4.0,-5.799999999999997,5.0,-12.5,7.0,3.0,4.0,2.0,4.0,5.0,-2.0
140,DET @ CHI,-8.0,-2.8999999999999986,3.099999999999998,-34.8,6.0,0.0,-15.0,1.0,-5.0,0.0,2.0
141,CHI vs. DET,8.0,2.8999999999999986,-3.099999999999998,34.8,-6.0,0.0,15.0,-1.0,5.0,0.0,-2.0
142,CHA @ BOS,-3.0,-1.2999999999999972,-8.899999999999999,-33.3,0.0,-3.0,11.0,5.0,1.0,-8.0,4.0
143,BOS vs. CHA,3.0,1.2999999999999972,8.899999999999999,33.3,0.0,3.0,-11.0,-5.0,-1.0,8.0,-4.0
144,NOP @ OKC,-22.0,-13.0,11.5,-6.299999999999997,0.0,-12.0,-4.0,-4.0,-8.0,1.0,-1.0
145,OKC vs. NOP,22.0,13.0,-11.5,6.299999999999997,0.0,12.0,4.0,4.0,8.0,-1.0,1.0
146,DET @ CHI,-5.0,-4.100000000000001,-9.5,-10.200000000000003,8.0,3.0,-21.0,-5.0,-2.0,-1.0,1.0
147,CHA @ BOS,5.0,4.100000000000001,9.5,10.200000000000003,-8.0,-3.0,21.0,5.0,2.0,1.0,-1.0
148,PHI @ MEM,-22.0,-10.0,-5.200000000000003,-10.299999999999997,-2.0,-11.0,-12.0,6.0,-5.0,-1.0,11.0
149,MEM vs. PHI,22.0,10.0,5.200000000000003,10.299999999999997,2.0,11.0,12.0,-6.0,5.0,1.0,-11.0
150,SAS @ DAL,9.0,-3.799999999999997,5.399999999999999,-3.700000000000003,7.0,-1.0,6.0,4.0,-4.0,2.0,5.0
151,DAL vs. SAS,-9.0,3.799999999999997,-5.399999999999999,3.700000000000003,-7.0,1.0,-6.0,-4.0,4.0,-2.0,-5.0
152,DEN @ GSW,1.0,-8.0,3.299999999999997,-23.5,19.0,6.0,4.0,0.0,1.0,3.0,1.0
153,GSW vs. DEN,-1.0,8.0,-3.299999999999997,23.5,-19.0,-6.0,-4.0,0.0,-1.0,-3.0,-1.0
154,PHI @ TOR,-11.0,1.7999999999999972,-9.899999999999999,1.9000000000000057,-1.0,2.0,-5.0,0.0,-2.0,1.0,9.0
155,TOR vs. PHI,11.0,-1.7999999999999972,9.899999999999999,-1.9000000000000057,1.0,-2.0,5.0,0.0,2.0,-1.0,-9.0
156,DET @ CLE,-22.0,-21.6,-10.199999999999996,16.300000000000004,8.0,-9.0,-22.0,2.0,-4.0,0.0,-12.0
157,CLE vs. DET,22.0,21.6,10.199999999999996,-16.300000000000004,-8.0,9.0,22.0,-2.0,4.0,0.0,12.0
158,IND @ MIL,2.0,-3.8999999999999986,-14.200000000000003,-33.800000000000004,2.0,12.0,2.0,-7.0,3.0,-4.0,7.0
159,MIA @ MEM,-2.0,3.8999999999999986,14.200000000000003,33.800000000000004,-2.0,-12.0,-2.0,7.0,-3.0,4.0,-7.0
160,CHI @ MIN,0.0,-2.1000000000000014,-7.600000000000001,-16.700000000000003,3.0,7.0,5.0,-7.0,6.0,-2.0,1.0
161,MIA @ MEM,0.0,2.1000000000000014,7.600000000000001,16.700000000000003,-3.0,-7.0,-5.0,7.0,-6.0,2.0,-1.0
162,SAC @ POR,-1.0,-7.800000000000004,15.100000000000001,-4.599999999999994,9.0,-7.0,-7.0,6.0,-2.0,-7.0,0.0
163,POR vs. SAC,1.0,7.800000000000004,-15.100000000000001,4.599999999999994,-9.0,7.0,7.0,-6.0,2.0,7.0,0.0
164,PHX @ NOP,6.0,6.299999999999997,4.5,-12.400000000000006,-2.0,-2.0,-2.0,-1.0,1.0,0.0,1.0
165,NOP vs. PHX,-6.0,-6.299999999999997,-4.5,12.400000000000006,2.0,2.0,2.0,1.0,-1.0,0.0,-1.0
166,BKN @ ORL,-4.0,-7.699999999999996,-11.299999999999997,13.5,2.0,-2.0,-4.0,-3.0,-5.0,-1.0,-1.0
167,ORL vs. BKN,4.0,7.699999999999996,11.299999999999997,-13.5,-2.0,2.0,4.0,3.0,5.0,1.0,1.0
168,OKC @ LAC,6.0,0.30000000000000426,-5.800000000000001,19.5,-4.0,-4.0,-5.0,1.0,3.0,-8.0,2.0
169,LAC vs. OKC,-6.0,-0.30000000000000426,5.800000000000001,-19.5,4.0,4.0,5.0,-1.0,-3.0,8.0,-2.0
170,IND @ MIL,2.0,4.5,20.799999999999997,-18.000000000000007,-6.0,-1.0,5.0,-2.0,0.0,0.0,4.0
171,MIL vs. IND,-2.0,-4.5,-20.799999999999997,18.000000000000007,6.0,1.0,-5.0,2.0,0.0,0.0,-4.0
172,CHI @ MIN,0.0,6.299999999999997,27.4,-0.9000000000000057,-5.0,-6.0,8.0,-2.0,3.0,2.0,-2.0
173,MIL vs. IND,0.0,-6.299999999999997,-27.4,0.9000000000000057,5.0,6.0,-8.0,2.0,-3.0,-2.0,2.0
174,HOU @ DEN,16.0,8.100000000000001,5.399999999999999,12.099999999999994,-9.0,10.0,9.0,-1.0,3.0,0.0,8.0
175,DET @ CLE,-16.0,-8.100000000000001,-5.399999999999999,-12.099999999999994,9.0,-10.0,-9.0,1.0,-3.0,0.0,-8.0
176,MIA @ MEM,-5.0,-3.0,25.0,25.0,-6.0,-8.0,1.0,1.0,-4.0,1.0,-2.0
177,MEM vs. MIA,5.0,3.0,-25.0,-25.0,6.0,8.0,-1.0,-1.0,4.0,-1.0,2.0
178,CHA @ WAS,6.0,-7.100000000000001,37.3,21.700000000000003,2.0,1.0,0.0,0.0,-8.0,0.0,2.0
179,WAS vs. CHA,-6.0,7.100000000000001,-37.3,-21.700000000000003,-2.0,-1.0,0.0,0.0,8.0,0.0,-2.0
180,IND @ MIL,17.0,5.700000000000003,22.299999999999997,-35.9,-3.0,4.0,10.0,-1.0,0.0,-1.0,10.0
181,MIN vs. CHI,-17.0,-5.700000000000003,-22.299999999999997,35.9,3.0,-4.0,-10.0,1.0,0.0,1.0,-10.0
182,CHI @ MIN,15.0,7.5,28.9,-18.799999999999997,-2.0,-1.0,13.0,-1.0,3.0,1.0,4.0
183,MIN vs. CHI,-15.0,-7.5,-28.9,18.799999999999997,2.0,1.0,-13.0,1.0,-3.0,-1.0,-4.0
184,HOU @ DEN,-7.0,-6.0,-1.7999999999999972,-1.7000000000000028,2.0,1.0,-3.0,-1.0,-3.0,4.0,-1.0
185,DEN vs. HOU,7.0,6.0,1.7999999999999972,1.7000000000000028,-2.0,-1.0,3.0,1.0,3.0,-4.0,1.0
186,BOS @ ATL,-8.0,-8.600000000000001,7.100000000000001,5.8999999999999915,3.0,-7.0,-5.0,0.0,-2.0,0.0,8.0
187,ATL vs. BOS,8.0,8.600000000000001,-7.100000000000001,-5.8999999999999915,-3.0,7.0,5.0,0.0,2.0,0.0,-8.0
188,OKC @ SAC,16.0,3.1000000000000014,31.0,10.400000000000006,-1.0,3.0,4.0,-3.0,-3.0,-10.0,1.0
189,SAS @ MIN,-16.0,-3.1000000000000014,-31.0,-10.400000000000006,1.0,-3.0,-4.0,3.0,3.0,10.0,-1.0
190,OKC @ SAC,15.0,6.0,33.1,-4.599999999999994,-3.0,-2.0,10.0,0.0,0.0,-3.0,5.0
191,SAC vs. OKC,-15.0,-6.0,-33.1,4.599999999999994,3.0,2.0,-10.0,0.0,0.0,3.0,-5.0
192,BKN @ MIA,-22.0,6.699999999999996,5.800000000000004,-30.799999999999997,-12.0,-5.0,-10.0,0.0,4.0,0.0,-4.0
193,MIN vs. SAS,22.0,-6.699999999999996,-5.800000000000004,30.799999999999997,12.0,5.0,10.0,0.0,-4.0,0.0,4.0
194,SAS @ MIN,-19.0,-1.8000000000000043,-9.799999999999997,-20.799999999999997,-5.0,-10.0,-4.0,-1.0,4.0,1.0,4.0
195,MIN vs. SAS,19.0,1.8000000000000043,9.799999999999997,20.799999999999997,5.0,10.0,4.0,1.0,-4.0,-1.0,-4.0
196,HOU @ LAL,15.0,11.400000000000006,-1.5,-1.4000000000000057,7.0,18.0,-5.0,0.0,2.0,3.0,2.0
197,LAL vs. HOU,-15.0,-11.400000000000006,1.5,1.4000000000000057,-7.0,-18.0,5.0,0.0,-2.0,-3.0,-2.0
198,BKN @ MIA,1.0,5.100000000000001,9.900000000000002,-23.700000000000003,-2.0,3.0,-4.0,0.0,4.0,2.0,-1.0
199,MIA vs. BKN,-1.0,-5.100000000000001,-9.900000000000002,23.700000000000003,2.0,-3.0,4.0,0.0,-4.0,-2.0,1.0
200,SAS @ MIN,4.0,-3.3999999999999986,-5.699999999999999,-13.700000000000003,5.0,-2.0,2.0,-1.0,4.0,3.0,7.0
